Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
m.10938,346,3,9,5,21,2,4,0.06,0.1907,1,1,0.88157,Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1
m.10942,329,0,0,0,0,0,0,-0.355,-0.412,0.549775,1,0.875448,E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1
m.10944,532,0,0,0,0,0,0,-0.363,-0.4244,0.54498,1,0.880869,E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1
m.10947,109,0,0,0,0,0,0,-0.406,-0.4809,0.533365,0.992072,0.914167,Predicted protein OS=Nematostella vectensis GN=v1g245296 PE=4 SV=1
m.1096,218,0,0,0,0,0,0,-0.487,-0.5713,0.548823,0.928596,0.979326,Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus GN=Pecr PE=1 SV=1
m.10970,130,0,0,2,0,0,0,-0.707,-0.8354,0.882497,0.862428,1,Solute carrier family 22 member 15-like OS=Xenopus laevis GN=slc22a15b PE=2 SV=1
m.10974,566,15,3,21,67,2,27,0.504,2.533,0.037082,0.005062,0.970734,Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1
m.10984,437,0,0,0,0,0,0,-0.451,-0.4895,0.533035,0.985132,0.919573,Retinoic acid receptor RXR OS=Biomphalaria glabrata GN=RXR PE=1 SV=1
m.110,1165,204,220,305,203,178,229,-0.572,-9.9174,0,0.951065,0,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1
m.1100,513,0,1,11,27,3,10,0.738,2.2679,0.091897,0.014428,0.974644,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3
m.11013,280,0,0,0,0,6,1,0.671,0.9351,1,0.573395,0.977723,m.11013
m.11021,150,0,0,0,0,0,0,-0.474,-0.5273,0.536044,0.957412,0.944764,Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1
m.11029,519,0,0,0,1,0,0,-0.354,-0.4182,0.547275,1,0.878121,Gamma-glutamyltranspeptidase 1 OS=Sus scrofa GN=GGT1 PE=2 SV=1
m.1103,1107,1,2,8,0,0,1,-1.861,-2.5941,0.444081,0.992922,0.100695,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1
m.11035,299,0,0,4,2,0,4,-0.241,-0.4221,0.545808,1,0.880871,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1"
m.11041,876,0,0,0,0,0,0,-0.427,-0.4796,0.533451,0.994431,0.9124,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1
m.11045,121,5,12,7,9,12,13,-0.054,-0.2082,0.766255,1,0.825223,Myophilin OS=Echinococcus granulosus PE=2 SV=1
m.11048,288,0,2,0,0,0,0,-0.772,-0.9657,1,0.873763,1,Collagen alpha-1(XIV) chain OS=Gallus gallus GN=COL14A1 PE=1 SV=2
m.11063,151,5,4,15,14,13,9,0.034,0.122,1,1,0.866535,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris]
m.11091,103,0,0,1,0,0,0,-0.282,-0.3297,0.603645,1,0.844888,m.11091
m.11093,943,0,0,0,0,0,0,-0.394,-0.4686,0.534496,1,0.905511,Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1
m.11100,1144,5,0,9,7,4,5,-0.348,-0.9493,1,0.871758,1,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1
m.11104,363,0,0,0,0,0,0,-0.483,-0.534,0.537334,0.951565,0.950962,m.11104
m.11107,150,28,26,46,33,33,64,-0.112,-0.8345,0.880442,0.862429,1,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3
m.11115,300,0,0,0,0,0,0,-0.417,-0.4812,0.533349,0.992072,0.914167,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1
m.11131,120,0,0,0,0,0,0,-0.354,-0.4386,0.5405,1,0.88956,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1
m.11133,183,0,0,0,1,0,0,-0.398,-0.4554,0.536562,1,0.898912,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1
m.11137,540,0,0,0,0,1,1,-0.459,-0.5163,0.534417,0.96553,0.936716,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1
m.11143,350,0,0,0,0,0,0,-0.362,-0.429,0.543417,1,0.883692,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.11149,227,23,14,29,37,8,24,-0.352,-2.0572,1,1,0.344646,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1
m.11152,593,0,1,0,3,1,2,0.364,0.4745,1,1,0.934701,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.11158,350,0,0,0,0,0,0,-0.401,-0.4683,0.534534,1,0.905511,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3
m.11159,450,0,0,0,0,0,0,-0.429,-0.4883,0.53306,0.987423,0.917753,Transcriptional enhancer factor TEF-1 OS=Mus musculus GN=Tead1 PE=2 SV=2
m.1116,106,0,0,1,0,2,1,-0.088,-0.1097,0.989866,1,0.827632,m.1116
m.11172,232,0,0,0,0,0,0,-0.449,-0.52,0.534891,0.961426,0.940707,Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2
m.11180,213,0,0,1,2,0,1,-0.032,-0.0404,1,1,0.835693,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1
m.11189,1271,0,0,0,1,0,0,-0.47,-0.5322,0.536968,0.953491,0.948881,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2
m.11210,170,0,0,0,0,0,0,-0.445,-0.5204,0.534949,0.961426,0.940707,Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1
m.11219,223,0,0,1,0,0,0,-0.444,-0.5429,0.539415,0.945922,0.957298,Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2
m.11245,196,0,0,0,1,0,1,-0.418,-0.4782,0.533547,0.994431,0.912401,COMM domain-containing protein 6 OS=Xenopus tropicalis GN=commd6 PE=2 SV=1
m.11249,809,0,0,3,0,0,0,-1.031,-1.3272,1,0.942519,0.992745,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3
m.11251,494,0,0,0,0,0,0,-0.42,-0.4444,0.538976,1,0.892604,Transcriptional repressor p66-beta OS=Homo sapiens GN=GATAD2B PE=1 SV=1
m.1126,148,8,1,8,6,2,3,-0.849,-2.1357,0.943383,1,0.295806,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3
m.11265,213,27,10,15,13,24,35,-0.062,-0.3516,0.585374,1,0.851814,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3
m.11277,156,0,0,1,0,0,0,-0.44,-0.5062,0.533465,0.97186,0.93085,Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2
m.11289,232,0,7,2,0,2,1,-1.383,-2.365,0.658023,0.997681,0.180089,Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1
m.11297,247,0,0,0,0,0,0,-0.359,-0.4111,0.550153,1,0.875449,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1
m.11298,283,0,1,1,0,2,1,-0.163,-0.2036,0.774719,1,0.825103,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2
m.113,378,75,39,131,98,67,117,-0.252,-2.6826,0.3692,0.990977,0.078976,m.113
m.1130,383,0,0,0,0,0,0,-0.494,-0.5659,0.546706,0.93188,0.974816,m.1130
m.11300,793,0,0,0,0,0,0,-0.456,-0.4971,0.533055,0.980617,0.923264,Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2
m.11307,740,1,0,1,0,0,0,-0.431,-0.5069,0.533517,0.97186,0.93085,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2"
m.11309,423,0,6,4,0,0,0,-1.812,-2.6447,0.400721,0.991798,0.087577,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1
m.11312,381,0,0,0,0,0,0,-0.47,-0.5179,0.534615,0.963467,0.938703,DNA replication licensing factor MCM4 OS=Mus musculus GN=Mcm4 PE=2 SV=1
m.11313,319,0,0,0,0,0,0,-0.378,-0.4216,0.54599,1,0.879486,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1
m.11314,169,0,0,0,0,0,0,-0.421,-0.4962,0.533041,0.980617,0.923264,Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1
m.11319,252,0,1,1,0,3,1,0.094,0.1283,1,1,0.86833,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1"
m.1133,280,2,2,1,0,0,0,-1.014,-1.3632,1,0.948729,0.956897,PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2
m.11332,131,0,0,0,0,0,0,-0.427,-0.5016,0.533209,0.976193,0.927023,m.11332
m.11340,155,4,0,7,2,12,8,0.267,0.7162,1,0.803503,0.963423,Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1
m.11346,282,2,0,1,0,0,0,-0.764,-0.9754,1,0.875471,1,"Chromosome undetermined SCAF6613, whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1"
m.1135,538,0,0,9,66,3,7,1.615,4.8148,0,0,0.956731,ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2
m.11354,351,34,39,45,56,43,47,-0.168,-1.2837,1,0.934926,1,Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2
m.11360,287,0,0,0,1,0,0,-0.389,-0.4289,0.54345,1,0.883692,Contactin-associated protein-like 3 OS=Homo sapiens GN=CNTNAP3 PE=2 SV=3
m.11365,135,0,0,0,0,0,0,-0.408,-0.4865,0.533107,0.987423,0.917754,m.11365
m.11366,227,0,0,0,0,0,0,-0.445,-0.4994,0.533122,0.978394,0.925135,Homeobox protein OTX2-A OS=Xenopus laevis GN=otx2-a PE=1 SV=1
m.11369,202,1,0,1,0,2,0,-0.082,-0.0953,1,1,0.828956,m.11369
m.11382,877,0,0,0,3,0,0,0.09,0.1109,1,1,0.864152,THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1
m.11384,390,1,0,2,2,0,0,-0.379,-0.5346,0.537465,0.951565,0.950963,Putative HERC2-like protein 3 OS=Homo sapiens GN=HERC2P3 PE=5 SV=2
m.11393,493,0,0,0,2,0,0,-0.114,-0.1438,0.902173,1,0.825361,Patched domain-containing protein 3 OS=Mus musculus GN=Ptchd3 PE=1 SV=1
m.11397,230,1,0,1,2,5,0,0.663,0.9949,1,0.516981,0.980133,Protein PRY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRY1 PE=1 SV=1
m.11401,144,0,0,0,0,0,0,-0.376,-0.4419,0.539614,1,0.891072,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1
m.11404,108,0,0,0,0,0,0,-0.386,-0.4597,0.535795,1,0.900534,Thioredoxin domain-containing protein 3 homolog OS=Ciona intestinalis GN=CiIC3 PE=2 SV=1
m.11405,546,1,1,5,4,4,0,-0.121,-0.2509,0.696231,1,0.829028,NEDD8-activating enzyme E1 regulatory subunit OS=Danio rerio GN=nae1 PE=2 SV=2
m.1141,910,0,0,0,0,0,1,-0.547,-0.6339,0.585195,0.89829,1,Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2
m.11430,456,0,0,0,2,0,0,-0.096,-0.1216,0.958012,1,0.826528,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2
m.11436,297,3,0,6,9,1,7,0.184,0.44,1,1,0.929432,m.11436
m.11439,174,0,0,0,0,1,0,-0.437,-0.5078,0.533584,0.97186,0.930851,m.11439
m.11443,1087,0,0,0,0,0,0,-0.463,-0.5365,0.537877,0.951563,0.950964,Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2
m.11447,101,0,0,0,1,0,0,-0.453,-0.5097,0.533738,0.969728,0.932789,BolA-like protein 3 OS=Homo sapiens GN=BOLA3 PE=1 SV=1
m.1145,390,6,7,0,0,0,0,-2.112,-3.2122,0.084008,0.979237,0.014032,m.1145
m.11458,213,0,0,7,4,11,17,0.916,2.3356,0.073648,0.011188,0.973589,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3
m.11472,334,4,0,4,7,2,8,0.237,0.5736,1,0.966019,0.948264,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1
m.1149,736,0,1,3,2,2,5,0.21,0.3378,1,1,0.911239,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1
m.11498,232,0,0,0,0,0,0,-0.385,-0.4678,0.534597,1,0.905512,Predicted protein OS=Nematostella vectensis GN=v1g244559 PE=4 SV=1
m.115,216,5,1,11,16,8,4,0.119,0.3998,1,1,0.922403,Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1
m.11503,281,5,2,2,2,14,22,1.135,2.8394,0.011065,0.001332,0.967073,Vacuolar protein sorting-associated protein 45 OS=Mus musculus GN=Vps45 PE=1 SV=1
m.1152,2284,0,1,1,0,3,3,0.502,0.6714,1,0.853831,0.959224,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2
m.11520,410,0,0,0,0,0,0,-0.48,-0.5781,0.551713,0.9254,0.983888,Forkhead box protein K1 OS=Mus musculus GN=Foxk1 PE=1 SV=2
m.11523,224,0,0,1,0,0,0,-0.539,-0.5936,0.559244,0.916355,0.99783,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus GN=Vti1b PE=1 SV=2
m.11535,375,0,0,0,0,0,0,-0.436,-0.5036,0.533306,0.974015,0.928928,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_168266 PE=4 SV=1
m.11536,523,0,0,4,2,1,2,-0.606,-0.9529,1,0.872148,1,Peroxisomal acyl-coenzyme A oxidase 1 OS=Cavia porcellus GN=ACOX1 PE=2 SV=1
m.11543,385,139,110,82,61,129,80,-0.59,-6.7327,0,0.952628,0,Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2
m.11544,157,0,0,11,0,27,1,0.408,1.176,1,0.361212,0.984807,m.11544
m.11552,285,0,0,0,0,0,0,-0.409,-0.5047,0.533372,0.974015,0.928929,Ataxin-3 OS=Mus musculus GN=Atxn3 PE=1 SV=2
m.11553,214,79,78,104,420,128,91,0.506,7.5708,0,0,0.952504,Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3
m.11555,111,0,0,0,0,0,0,-0.402,-0.4558,0.536489,1,0.898912,m.11555
m.11561,392,0,0,0,0,0,0,-0.343,-0.385,0.56311,1,0.863187,GA-binding protein alpha chain OS=Mus musculus GN=Gabpa PE=1 SV=2
m.1157,147,8,0,11,21,3,7,0.044,0.1541,1,1,0.873744,Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1
m.11574,760,0,0,0,0,0,0,-0.399,-0.4999,0.533137,0.978394,0.925135,Serine/threonine-protein kinase Nek4 OS=Mus musculus GN=Nek4 PE=2 SV=1
m.11575,150,0,0,3,0,1,2,-0.681,-0.9,1,0.865894,1,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1
m.1158,604,0,0,0,0,0,0,-0.433,-0.4968,0.53305,0.980617,0.923264,Interferon regulatory factor 2-binding protein-like OS=Mus musculus GN=Irf2bpl PE=1 SV=1
m.11585,200,0,1,0,0,0,2,-0.148,-0.19,0.800834,1,0.824668,Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REE1 PE=1 SV=1
m.1159,503,0,0,4,0,0,0,-1.112,-1.4171,1,0.957136,0.903669,Predicted protein OS=Nematostella vectensis GN=v1g200212 PE=4 SV=1
m.116,223,0,0,0,0,1,0,-0.454,-0.5199,0.534876,0.963466,0.938704,Casein kinase II subunit beta OS=Danio rerio GN=csnk2b PE=2 SV=1
m.11603,537,4,9,13,6,6,7,-0.696,-2.2696,0.764281,0.999251,0.22334,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1
m.11619,246,0,0,0,0,0,0,-0.39,-0.4477,0.538189,1,0.894153,m.11619
m.1163,121,1,0,6,2,4,2,-0.366,-0.7086,0.66,0.87467,1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3
m.11636,357,0,0,1,0,0,4,0.383,0.541,1,1,0.944289,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1
m.11637,167,0,0,0,0,0,0,-0.334,-0.3647,0.575861,1,0.855694,Uncharacterized N-acetyltransferase YafP OS=Escherichia coli (strain K12) GN=yafP PE=2 SV=1
m.1164,164,0,0,0,0,0,0,-0.44,-0.4975,0.533062,0.978394,0.925135,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2
m.11654,271,0,3,4,3,2,5,-0.152,-0.3248,0.60815,1,0.843329,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.1168,430,0,0,1,1,0,0,-0.4,-0.4475,0.538235,1,0.894153,Caspase-2 OS=Gallus gallus GN=CASP2 PE=2 SV=2
m.11683,186,0,0,0,4,0,0,0.432,0.6197,1,0.911259,0.953901,purine or other phosphorylase 1 [Streptomyces acidiscabies]
m.11687,197,0,0,1,0,0,0,-0.42,-0.4835,0.533224,0.989737,0.915952,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1
m.11700,147,16,27,3,8,8,25,-0.51,-2.4204,0.602493,0.996607,0.157584,Bis(5_-adenosyl)-triphosphatase enpp4 OS=Danio rerio GN=enpp4 PE=2 SV=1
m.11706,165,0,0,0,0,0,0,-0.431,-0.4649,0.534987,1,0.903834,m.11706
m.11717,327,0,0,0,0,0,0,-0.502,-0.5818,0.553388,0.922298,0.988488,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3
m.11721,335,0,0,2,3,0,0,-0.197,-0.2822,0.654119,1,0.833774,Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3
m.11724,829,3,3,3,4,1,2,-0.626,-1.225,1,0.923637,1,Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2
m.11725,118,0,0,0,0,0,0,-0.485,-0.5034,0.533294,0.974015,0.928928,Cytosolic purine 5_-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1
m.1173,565,0,0,0,1,0,0,-0.371,-0.4183,0.547236,1,0.878121,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.11734,369,0,0,1,1,0,0,-0.448,-0.5175,0.534562,0.963467,0.938703,ERO1-like protein beta OS=Mus musculus GN=Ero1lb PE=1 SV=1
m.11740,629,0,0,0,0,0,0,-0.419,-0.4758,0.533742,0.996811,0.910652,Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3
m.11744,384,1,0,4,3,1,0,-0.581,-0.8999,1,0.865894,1,Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1
m.11754,237,12,16,12,14,18,15,-0.233,-1.0874,1,0.895885,1,Contactin-associated protein like 5-2 OS=Mus musculus GN=Cntnap5b PE=2 SV=1
m.11756,1226,0,0,1,0,0,0,-0.434,-0.5039,0.533324,0.974015,0.928928,m.11756
m.11767,390,2,0,1,1,1,2,-0.444,-0.6127,0.570369,0.9068,1,ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2
m.1177,593,0,0,0,0,0,0,-0.407,-0.4722,0.534081,1,0.907207,Leucine-rich repeat protein soc-2 homolog OS=Nematostella vectensis GN=v1g189306 PE=3 SV=1
m.11770,127,0,0,1,0,0,0,-0.387,-0.4282,0.543681,1,0.883693,RNA-binding protein 1 OS=Drosophila melanogaster GN=Rbp1 PE=2 SV=3
m.11778,210,0,0,0,0,0,0,-0.454,-0.511,0.533853,0.969727,0.932789,Chromatin complexes subunit BAP18 OS=Mus musculus GN=Bap18 PE=1 SV=1
m.11786,188,0,0,3,4,0,0,-0.21,-0.337,0.59722,1,0.846511,Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1
m.11817,107,0,0,0,0,0,0,-0.373,-0.4293,0.543318,1,0.883691,Neurexin-4 OS=Drosophila melanogaster GN=Nrx-IV PE=1 SV=2
m.11819,281,0,0,2,6,4,3,0.817,1.4334,0.899125,0.197165,0.986273,Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2
m.11820,1432,0,0,0,0,0,0,-0.393,-0.4392,0.540338,1,0.889559,Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1
m.11826,566,0,2,3,5,2,1,-0.146,-0.2562,0.688573,1,0.829757,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3"
m.11828,346,0,0,4,0,0,1,-1.126,-1.5769,1,0.977372,0.744252,Partitioning defective 6 homolog gamma OS=Mus musculus GN=Pard6g PE=2 SV=1
m.11831,212,22,47,21,42,53,50,0.098,0.7562,1,0.760182,0.96671,Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1
m.11832,897,6,6,14,12,9,18,0.006,0.0248,1,1,0.847145,Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1
m.1184,205,0,0,1,0,0,0,-0.378,-0.4468,0.538396,1,0.892602,Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4
m.11842,252,4,1,0,5,2,6,0.385,0.7677,1,0.747943,0.967585,Predicted protein OS=Nematostella vectensis GN=v1g240789 PE=4 SV=1
m.11852,223,0,0,0,0,0,0,-0.523,-0.606,0.566232,0.910762,1,Muconolactone delta-isomerase OS=Gloeocapsa sp. PCC 73106 GN=GLO73106DRAFT_00028610 PE=4 SV=1
m.11872,568,0,0,0,1,0,1,-0.45,-0.5171,0.53451,0.963467,0.938703,DnaJ homolog subfamily C member 2 OS=Rattus norvegicus GN=Dnajc2 PE=2 SV=1
m.11876,224,0,2,2,2,4,2,0.068,0.1143,1,1,0.865341,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3
m.1188,293,13,0,19,25,2,8,-0.35,-1.3901,1,0.953255,0.928967,Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1
m.11881,218,0,0,2,0,0,0,-0.67,-0.7786,0.766474,0.864264,1,COMM domain-containing protein 7 OS=Bos taurus GN=COMMD7 PE=2 SV=1
m.119,676,0,0,1,0,0,0,-0.405,-0.4422,0.539537,1,0.891072,Exocyst complex component 7 OS=Rattus norvegicus GN=Exoc7 PE=2 SV=1
m.11901,198,0,0,0,0,0,0,-0.398,-0.4738,0.533926,0.999214,0.90892,Putative GTP-binding protein 6 OS=Homo sapiens GN=GTPBP6 PE=2 SV=3
m.11903,157,0,0,0,0,3,2,0.44,0.5526,1,0.98863,0.945765,m.11903
m.11907,647,0,0,7,0,6,0,-0.492,-0.9842,1,0.876804,1,Fibulin-1 OS=Danio rerio GN=fbln1 PE=2 SV=1
m.11916,339,0,0,0,3,0,0,0.19,0.2445,1,1,0.892826,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1
m.11921,315,30,1,21,6,1,17,-1.207,-4.8906,0.000044,0.958397,0.000004,Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3
m.11924,283,3,1,5,1,0,2,-1.263,-2.1181,0.969651,1,0.305855,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1
m.11933,202,0,0,0,0,0,0,-0.378,-0.4362,0.541185,1,0.888065,Charged multivesicular body protein 1a OS=Danio rerio GN=chmp1a PE=2 SV=1
m.11960,265,0,0,0,0,0,0,-0.5,-0.5509,0.541633,0.940486,0.963763,Proline and serine-rich protein 1 OS=Mus musculus GN=Proser1 PE=1 SV=1
m.11971,202,3,0,0,9,0,3,0.578,1.0637,1,0.453508,0.982383,"Protein HIM-4, isoform a OS=Caenorhabditis elegans GN=him-4 PE=4 SV=1"
m.11993,245,1,0,4,2,0,4,-0.264,-0.4654,0.534917,1,0.903834,Cytochrome P450 20A1 OS=Bos taurus GN=CYP20A1 PE=2 SV=1
m.11995,326,7,2,4,1,6,1,-0.916,-2.0742,1,1,0.331976,Protein turtle OS=Drosophila melanogaster GN=tutl PE=1 SV=2
m.12002,156,7,7,5,17,6,9,0.138,0.4721,1,1,0.934274,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1
m.12007,433,4,4,8,18,6,6,0.225,0.664,1,0.860166,0.958664,Coiled-coil domain-containing protein 104 OS=Xenopus laevis GN=ccdc104 PE=2 SV=1
m.12009,511,1,0,5,8,6,6,0.681,1.4784,0.823654,0.175542,0.986086,"4-aminobutyrate aminotransferase, mitochondrial OS=Sus scrofa GN=ABAT PE=1 SV=2"
m.12020,274,0,0,0,0,0,0,-0.392,-0.4342,0.541779,1,0.886588,MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Gallus gallus GN=MDGA1 PE=1 SV=1
m.12028,524,0,0,0,0,1,0,-0.483,-0.5312,0.536765,0.953491,0.94888,Vitellogenin-2 OS=Gallus gallus GN=VTG2 PE=1 SV=1
m.12030,138,0,0,0,0,0,0,-0.391,-0.4963,0.533042,0.980617,0.923264,Vitellogenin-2 OS=Gallus gallus GN=VTG2 PE=1 SV=1
m.12035,180,5,3,8,5,6,5,-0.404,-1.0633,1,0.890916,1,m.12035
m.12037,240,0,0,0,0,0,0,-0.332,-0.377,0.567848,1,0.860959,m.12037
m.1204,135,0,0,0,0,0,0,-0.348,-0.3757,0.568657,1,0.859867,Protein BolA OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) GN=bolA PE=3 SV=1
